2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: momentum_10
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: momentum_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: momentum_60
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: rsi_momentum_14
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: macd_momentum_12_26_9
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volume_momentum_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: price_volume_momentum_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: acceleration_10
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: roc_12
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: roc_24
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_10
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_60
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: atr_14
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: atr_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: bollinger_volatility_20_2.0
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: garch_volatility_30
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_skew_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_kurtosis_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: realized_volatility_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: reversal_3
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: reversal_5
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: reversal_10
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: rsi_reversal_14
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: stochastic_reversal_14_3
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: williams_r_reversal_14
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: bollinger_reversal_20_2.0
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: mean_reversion_5_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: volume_reversal_20
2026-01-11 22:16:12 | INFO | src.factors.base.factor:register:260 | 注册因子: cci_reversal_20
2026-01-11 22:16:12 | INFO | src.core.task_manager:__init__:106 | TaskManager 启动，最大并行: 4, 最大任务数: 500
2026-01-11 22:16:12 | INFO | src.api.main:lifespan:35 | 启动 Factor Mining System API
2026-01-11 22:16:12 | INFO | src.api.main:lifespan:39 | 初始化系统组件...
2026-01-11 22:16:12 | INFO | src.execution.ib_broker:connect:68 | 正在连接到 IB: 127.0.0.1:4002 (client_id=1)
2026-01-11 22:16:13 | INFO | src.execution.ib_broker:connect:88 | 使用指定账户: zhoutong7979
2026-01-11 22:16:13 | INFO | src.execution.ib_broker:connect:90 | 成功连接到 IB
2026-01-11 22:16:13 | INFO | src.api.main:lifespan:48 | IBBroker 初始化成功
2026-01-11 22:22:36 | ERROR | src.api.main:general_exception_handler:109 | 未处理异常: 策略不存在: vwap_pullback
2026-01-11 22:23:44 | INFO | src.execution.ib_broker:disconnect:103 | 已断开 IB 连接
2026-01-11 22:23:44 | INFO | src.api.main:lifespan:62 | IBBroker 已断开连接
2026-01-11 22:23:44 | INFO | src.api.main:lifespan:66 | 关闭 Factor Mining System API
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: momentum_10
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: momentum_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: momentum_60
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: rsi_momentum_14
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: macd_momentum_12_26_9
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volume_momentum_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: price_volume_momentum_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: acceleration_10
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: roc_12
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: roc_24
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_10
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_60
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: atr_14
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: atr_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: bollinger_volatility_20_2.0
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: garch_volatility_30
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_skew_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volatility_kurtosis_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: realized_volatility_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: reversal_3
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: reversal_5
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: reversal_10
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: rsi_reversal_14
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: stochastic_reversal_14_3
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: williams_r_reversal_14
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: bollinger_reversal_20_2.0
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: mean_reversion_5_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: volume_reversal_20
2026-01-11 22:23:46 | INFO | src.factors.base.factor:register:260 | 注册因子: cci_reversal_20
2026-01-11 22:23:46 | INFO | src.core.task_manager:__init__:106 | TaskManager 启动，最大并行: 4, 最大任务数: 500
2026-01-11 22:23:46 | INFO | src.api.main:lifespan:35 | 启动 Factor Mining System API
